id_municipio;nome_municipio;pib_2019;pib_2020;pib_2021;pib_2022;pib_2023
5106455;Planalto da Serra (MT);88849;171878;231865;314834;296060
5106505;Poconé (MT);565203;619386;709415;814582;861874
5106653;Pontal do Araguaia (MT);79887;94490;123203;135251;244682
5106703;Ponte Branca (MT);24669;27249;31217;38418;49856
5106752;Pontes e Lacerda (MT);1535829;2001468;2436063;2278640;2856805
5106778;Porto Alegre do Norte (MT);253174;323085;568644;655065;558330
5106802;Porto dos Gaúchos (MT);511317;948674;1318753;1550521;1444695
5106828;Porto Esperidião (MT);218698;239067;308567;273513;323734
5106851;Porto Estrela (MT);55182;64820;83532;87760;99847
5107008;Poxoréu (MT);532145;786266;1077680;1203312;1242007
5107040;Primavera do Leste (MT);3922519;5182237;6964815;7988769;8571209
5107065;Querência (MT);1553732;2794894;4259261;3909820;3771292
5107107;São José dos Quatro Marcos (MT);377996;395670;448462;471805;550358
5107156;Reserva do Cabaçal (MT);38501;44054;47446;46372;54024
5107180;Ribeirão Cascalheira (MT);355891;486843;756776;801786;814506
5107198;Ribeirãozinho (MT);89358;112607;188968;199828;192864
5107206;Rio Branco (MT);91847;109729;107188;110387;129895
5107248;Santa Carmem (MT);408673;670119;1032285;1176355;1133113
5107263;Santo Afonso (MT);82619;114141;161534;169627;193731
5107297;São José do Povo (MT);45551;51885;58942;62482;70176
5107305;São José do Rio Claro (MT);797208;1113152;1465536;1634358;1683036
5107354;São José do Xingu (MT);315289;584669;934646;1039023;843182
5107404;São Pedro da Cipa (MT);65721;66900;69263;77884;81085
5107578;Rondolândia (MT);68538;84617;114345;126018;135694
5107602;Rondonópolis (MT);11355239;12854569;17294386;15869902;16568250
5107701;Rosário Oeste (MT);306079;384948;534979;568250;650377
5107743;Santa Cruz do Xingu (MT);125088;165844;320546;334645;601239
5107750;Salto do Céu (MT);59481;65532;94294;100560;120131
5107768;Santa Rita do Trivelato (MT);515850;898176;1236019;1409325;1341337
5107776;Santa Terezinha (MT);150327;195451;300549;320970;306137
5107792;Santo Antônio do Leste (MT);390898;694997;1019938;1165372;1313632
5107800;Santo Antônio de Leverger (MT);429900;479802;820042;803332;743717
5107859;São Félix do Araguaia (MT);718189;1191538;1622830;2172963;2351792
5107875;Sapezal (MT);2590391;3738301;6978522;5842523;6410247
5107883;Serra Nova Dourada (MT);38980;55184;75359;127712;160052
5107909;Sinop (MT);6605143;8076306;9623193;11650411;11736047
